province,region
Hà Nội,Đồng bằng sông Hồng
Vĩnh Phúc,Đồng bằng sông Hồng
Bắc Ninh,Đồng bằng sông Hồng
Quảng Ninh,Đồng bằng sông Hồng
Hải Dương,Đồng bằng sông Hồng
Hải Phòng,Đồng bằng sông Hồng
Hưng Yên,Đồng bằng sông Hồng
Thái Bình,Đồng bằng sông Hồng
Hà Nam,Đồng bằng sông Hồng
Nam Định,Đồng bằng sông Hồng
Ninh Bình,Đồng bằng sông Hồng
Hà Giang,Trung du và miền núi phía Bắc
Cao Bằng,Trung du và miền núi phía Bắc
Bắc Kạn,Trung du và miền núi phía Bắc
Tuyên Quang,Trung du và miền núi phía Bắc
Lào Cai,Trung du và miền núi phía Bắc
Yên Bái,Trung du và miền núi phía Bắc
Thái Nguyên,Trung du và miền núi phía Bắc
Lạng Sơn,Trung du và miền núi phía Bắc
Bắc Giang,Trung du và miền núi phía Bắc
Phú Thọ,Trung du và miền núi phía Bắc
Điện Biên,Trung du và miền núi phía Bắc
Lai Châu,Trung du và miền núi phía Bắc
Sơn La,Trung du và miền núi phía Bắc
Hòa Bình,Trung du và miền núi phía Bắc
Thanh Hóa,Bắc Trung Bộ và Duyên hải miền Trung
Nghệ An,Bắc Trung Bộ và Duyên hải miền Trung
Hà Tĩnh,Bắc Trung Bộ và Duyên hải miền Trung
Quảng Bình,Bắc Trung Bộ và Duyên hải miền Trung
Quảng Trị,Bắc Trung Bộ và Duyên hải miền Trung
Thừa Thiên Huế,Bắc Trung Bộ và Duyên hải miền Trung
Đà Nẵng,Bắc Trung Bộ và Duyên hải miền Trung
Quảng Nam,Bắc Trung Bộ và Duyên hải miền Trung
Quảng Ngãi,Bắc Trung Bộ và Duyên hải miền Trung
Bình Định,Bắc Trung Bộ và Duyên hải miền Trung
Phú Yên,Bắc Trung Bộ và Duyên hải miền Trung
Khánh Hòa,Bắc Trung Bộ và Duyên hải miền Trung
Ninh Thuận,Bắc Trung Bộ và Duyên hải miền Trung
Bình Thuận,Bắc Trung Bộ và Duyên hải miền Trung
Kon Tum,Tây Nguyên
Gia Lai,Tây Nguyên
Đắk Lắk,Tây Nguyên
Đắk Nông,Tây Nguyên
Lâm Đồng,Tây Nguyên
Bình Phước,Đông Nam Bộ
Tây Ninh,Đông Nam Bộ
Bình Dương,Đông Nam Bộ
Đồng Nai,Đông Nam Bộ
Bà Rịa Vũng Tàu,Đông Nam Bộ
Hồ Chí Minh,Đông Nam Bộ
Long An,Đồng bằng sông Cửu Long
Tiền Giang,Đồng bằng sông Cửu Long
Bến Tre,Đồng bằng sông Cửu Long
Trà Vinh,Đồng bằng sông Cửu Long
Vĩnh Long,Đồng bằng sông Cửu Long
Đồng Tháp,Đồng bằng sông Cửu Long
An Giang,Đồng bằng sông Cửu Long
Kiên Giang,Đồng bằng sông Cửu Long
Cần Thơ,Đồng bằng sông Cửu Long
Hậu Giang,Đồng bằng sông Cửu Long
Sóc Trăng,Đồng bằng sông Cửu Long
Bạc Liêu,Đồng bằng sông Cửu Long
Cà Mau,Đồng bằng sông Cửu Long
