province,population,population_density,region,average_area_by_density,average_floors_by_density,average_price_by_region_grouped,region_grouped
Hà Nội,8435650,2511,Đồng bằng sông Hồng,3.8060374924005433,4.417763157894737,6.125688309531717,A
Vĩnh Phúc,1197620,969,Đồng bằng sông Hồng,3.8060374924005433,4.417763157894737,6.125688309531717,A
Bắc Ninh,1488200,1809,Đồng bằng sông Hồng,3.8060374924005433,4.417763157894737,6.125688309531717,A
Quảng Ninh,1362880,220,Đồng bằng sông Hồng,3.8060374924005433,4.417763157894737,6.125688309531717,A
Hải Dương,1946820,1167,Đồng bằng sông Hồng,3.8060374924005433,4.417763157894737,6.125688309531717,A
Hải Phòng,2088020,1368,Đồng bằng sông Hồng,3.8060374924005433,4.417763157894737,6.125688309531717,A
Hưng Yên,1290850,1388,Đồng bằng sông Hồng,3.8060374924005433,4.417763157894737,6.125688309531717,A
Thái Bình,1878540,1185,Đồng bằng sông Hồng,3.8060374924005433,4.417763157894737,6.125688309531717,A
Hà Nam,878000,1019,Đồng bằng sông Hồng,3.8060374924005433,4.417763157894737,6.125688309531717,A
Nam Định,1876850,1125,Đồng bằng sông Hồng,3.8060374924005433,4.417763157894737,6.125688309531717,A
Ninh Bình,1010700,716,Đồng bằng sông Hồng,3.8060374924005433,4.417763157894737,6.125688309531717,A
Hà Giang,892720,113,Trung du và miền núi phía Bắc,4.711607045257173,3.6666666666666665,5.371714862138534,C
Cao Bằng,543050,81,Trung du và miền núi phía Bắc,4.711607045257173,3.6666666666666665,5.371714862138534,C
Bắc Kạn,324350,67,Trung du và miền núi phía Bắc,4.711607045257173,3.6666666666666665,5.371714862138534,C
Tuyên Quang,805780,137,Trung du và miền núi phía Bắc,4.711607045257173,3.6666666666666665,5.371714862138534,C
Lào Cai,770590,121,Trung du và miền núi phía Bắc,4.711607045257173,3.6666666666666665,5.371714862138534,C
Yên Bái,847250,123,Trung du và miền núi phía Bắc,4.711607045257173,3.6666666666666665,5.371714862138534,C
Thái Nguyên,1335990,379,Trung du và miền núi phía Bắc,4.711607045257173,3.6666666666666665,5.371714862138534,C
Lạng Sơn,802090,97,Trung du và miền núi phía Bắc,4.711607045257173,3.6666666666666665,5.371714862138534,C
Bắc Giang,1890930,485,Trung du và miền núi phía Bắc,4.711607045257173,3.6666666666666665,5.371714862138534,C
Phú Thọ,1516920,429,Trung du và miền núi phía Bắc,4.711607045257173,3.6666666666666665,5.371714862138534,C
Điện Biên,635920,67,Trung du và miền núi phía Bắc,4.711607045257173,3.6666666666666665,5.371714862138534,C
Lai Châu,482100,53,Trung du và miền núi phía Bắc,4.711607045257173,3.6666666666666665,5.371714862138534,C
Sơn La,1300130,92,Trung du và miền núi phía Bắc,4.711607045257173,3.6666666666666665,5.371714862138534,C
Hòa Bình,875380,191,Trung du và miền núi phía Bắc,4.711607045257173,3.6666666666666665,5.371714862138534,C
Thanh Hóa,3722060,335,Bắc Trung Bộ và Duyên hải miền Trung,4.598030899100208,2.526058631921824,5.371714862138534,C
Nghệ An,3419990,207,Bắc Trung Bộ và Duyên hải miền Trung,4.598030899100208,2.526058631921824,5.371714862138534,C
Hà Tĩnh,1323750,221,Bắc Trung Bộ và Duyên hải miền Trung,4.598030899100208,2.526058631921824,5.371714862138534,C
Quảng Bình,913860,114,Bắc Trung Bộ và Duyên hải miền Trung,4.598030899100208,2.526058631921824,5.371714862138534,C
